代號,選舉名稱,選舉日期
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 臺東市",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 成功鎮",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 關山鎮",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 卑南鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 鹿野鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 池上鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 東河鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 長濱鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 太麻里鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 大武鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 花蓮市",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 鳳林鎮",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 玉里鎮",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 新城鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 吉安鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 壽豐鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 光復鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 豐濱鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 瑞穗鄉",2014-11-29
20141101R2D2,"2014-103年鄉鎮市民代表選舉 > 平原 > 富里鄉",2014-11-29
20100601C1D2,2010-99年鄉鎮市民代表選舉,2010-06-12
20141101D2D3,2014-103年直轄市區長選舉,2014-11-29
20141101R3D4,2014-103年直轄市區民代表選舉,2014-11-29
20141101V1E1,2014-103年村里長選舉,2014-11-29
20100601S1E1,2010-99年村里長選舉,2010-06-12
19941201F1F1,1994-83年臺灣省長選舉,1994-12-03
19941201J1F2,"1994-83年臺灣省議員選舉 > 區域",1994-12-03
19941201J2F2,"1994-83年臺灣省議員選舉 > 平原北區",1994-12-03
19941201J3F2,"1994-83年臺灣省議員選舉 > 平原南區",1994-12-03
19941201J4F2,"1994-83年臺灣省議員選舉 > 山原",1994-12-03
