村里,總統票總數,柯文哲,賴清德,侯友宜
花蓮縣新城鄉新秀村,1060,364,200,496
花蓮縣秀林鄉秀林村,1149,364,176,609
基隆市安樂區三民里,1605,364,570,671
臺南市仁德區中洲里,1833,363,997,473
高雄市岡山區壽峰里,1536,363,709,464
宜蘭縣頭城鎮新建里,1356,363,532,461
苗栗縣頭份市珊湖里,1159,363,267,529
彰化縣伸港鄉曾家村,1167,363,435,369
基隆市信義區東光里,1304,363,455,486
臺中市北區錦平里,1261,362,514,385
高雄市仁武區後安里,1777,362,1060,355
高雄市路竹區甲北里,1483,362,760,361
彰化縣彰化市新華里,1234,362,443,429
彰化縣田中鎮沙崙里,1248,362,479,407
南投縣竹山鎮竹圍里,1486,362,550,574
臺東縣臺東市馬蘭里,1444,362,358,724
新北市板橋區東安里,1451,361,675,415
新北市三重區瑞德里,1506,361,696,449
臺中市烏日區五光里,1261,361,533,367
臺南市永康區新樹里,1492,361,819,312
宜蘭縣宜蘭市泰山里,1262,361,457,444
彰化縣溪湖鎮河東里,1233,361,466,406
彰化縣田尾鄉打簾村,1198,361,466,371
嘉義縣民雄鄉豊收村,1508,361,684,463
新北市三重區慈福里,1430,360,687,383
新北市新莊區文衡里,1416,360,621,435
臺中市清水區南寧里,1255,360,529,366
臺中市后里區聯合里,1107,360,419,328
高雄市前鎮區明孝里,1707,360,941,406
臺東縣臺東市岩灣里,1411,360,379,672
花蓮縣新城鄉康樂村,1506,360,389,757
新北市新店區國校里,1633,359,553,721
桃園市楊梅區富岡里,1296,359,409,528
臺南市官田區官田里,1395,359,734,302
臺南市新化區崙頂里,1566,359,829,378
高雄市楠梓區宏榮里,1713,359,717,637
宜蘭縣礁溪鄉玉田村,1477,359,810,308
苗栗縣公館鄉鶴岡村,1125,359,252,514
彰化縣埔心鄉瓦北村,1248,359,525,364
嘉義縣朴子市永和里,1720,359,859,502
臺南市南區南華里,1623,358,840,425
臺南市北區雙安里,1624,358,766,500
彰化縣秀水鄉義興村,1030,358,352,320
彰化縣永靖鄉永興村,1093,358,399,336
南投縣埔里鎮泰安里,1450,358,450,642
雲林縣古坑鄉棋盤村,1335,358,659,318
雲林縣林內鄉林北村,1415,358,647,410
屏東縣內埔鄉黎明村,1521,358,774,389
基隆市信義區義幸里,1580,358,523,699
新北市新店區張南里,1659,357,517,785
臺南市永康區成功里,1428,357,363,708
南投縣草屯鎮雙冬里,1426,357,542,527
雲林縣古坑鄉永光村,1417,357,625,435
新北市三重區長泰里,1399,356,633,410
新北市泰山區泰友里,1317,356,520,441
桃園市觀音區大堀里,1135,356,488,291
臺中市東勢區粵寧里,1426,356,511,559
臺中市大甲區西岐里,1198,356,451,391
高雄市前鎮區良和里,1944,356,802,786
高雄市旗山區三協里,1500,356,695,449
彰化縣溪湖鎮太平里,1219,356,390,473
彰化縣埔鹽鄉埔鹽村,1220,356,415,449
嘉義縣水上鄉下寮村,1325,356,570,399
嘉義市東區芳安里,1497,356,652,489
臺中市大安區永安里,1187,355,478,354
高雄市仁武區仁慈里,1744,355,869,520
彰化縣竹塘鄉竹塘村,1337,355,489,493
南投縣南投市振興里,1437,355,636,446
南投縣南投市嘉興里,1409,355,645,409
屏東縣新園鄉新東村,1570,355,756,459
臺北市中正區文盛里,1616,354,634,628
臺南市新化區𦰡拔里,1429,354,674,401
彰化縣員林市南東里,1175,354,455,366
金門縣金城鎮古城里,1380,354,156,870
新北市三重區菜寮里,1413,353,621,439
臺中市烏日區北里里,1218,353,504,361
臺南市下營區新興里,1338,353,650,335
新竹縣芎林鄉芎林村,1162,353,324,485
臺北市北投區泉源里,1416,352,651,413
新北市新店區大鵬里,1881,352,278,1251
新竹縣關西鎮石光里,1254,352,347,555
新北市板橋區民生里,1413,351,633,429
新北市蘆洲區仁復里,1273,351,535,387
高雄市楠梓區建昌里,1676,351,748,577
高雄市阿蓮區和蓮里,1597,351,927,319
苗栗縣頭屋鄉象山村,1241,351,298,592
彰化縣花壇鄉長春村,1050,351,343,356
彰化縣大村鄉南勢村,1083,351,409,323
彰化縣永靖鄉港西村,1189,351,472,366
雲林縣古坑鄉永昌村,1359,351,596,412
澎湖縣馬公市鎖港里,1487,351,724,412
新北市新店區忠孝里,1805,350,509,946
臺南市新營區嘉芳里,1235,350,611,274
臺南市東區東聖里,1548,350,726,472
高雄市前鎮區瑞崗里,1723,350,956,417
高雄市梓官區信蚵里,1708,350,894,464
雲林縣臺西鄉海口村,1141,350,398,393
屏東縣萬丹鄉新庄村,1483,350,726,407
新北市新店區忠誠里,1626,349,483,794
桃園市楊梅區梅新里,1378,349,448,581
臺南市新化區唪口里,1524,349,812,363
新竹縣湖口鄉湖南村,1068,349,252,467
苗栗縣苑裡鎮泰田里,1148,349,529,270
嘉義市西區後驛里,1391,349,724,318
新北市三重區富福里,1261,348,579,334
臺南市安定區蘇林里,1568,348,893,327
高雄市鳳山區誠信里,1435,348,406,681
彰化縣員林市源潭里,1164,348,499,317
嘉義縣民雄鄉福興村,1420,348,720,352
臺北市士林區陽明里,1790,347,753,690
高雄市旗津區上竹里,1728,347,1083,298
高雄市鳳山區武慶里,1556,347,787,422
彰化縣社頭鄉舊社村,1180,347,492,341
嘉義縣水上鄉三和村,1171,347,474,350
新北市樹林區樂山里,1272,346,544,382
臺中市東勢區南平里,1250,346,325,579
臺中市清水區頂湳里,1223,346,515,362
臺南市北區長興里,1743,346,915,482
高雄市苓雅區福東里,1690,346,814,530
高雄市大樹區水安里,1635,346,913,376
宜蘭縣蘇澳鎮聖湖里,1482,346,565,571
苗栗縣通霄鎮內湖里,1228,346,471,411
彰化縣秀水鄉秀水村,1191,346,506,339
彰化縣北斗鎮西安里,1228,346,459,423
嘉義縣大林鎮三和里,1377,346,589,442
屏東縣麟洛鄉麟趾村,1824,346,992,486
新北市三重區錦田里,1382,345,648,389
臺南市麻豆區新興里,1402,345,800,257
高雄市鳳山區龍成里,1880,345,1066,469
苗栗縣三義鄉双湖村,1264,345,297,622
嘉義縣竹崎鄉和平村,1462,345,706,411
新北市三重區安慶里,1328,344,616,368
新北市新店區長春里,1717,344,537,836
南投縣鹿谷鄉廣興村,1341,344,439,558
屏東縣長治鄉繁華村,1576,344,886,346
基隆市七堵區友一里,1417,344,467,606
基隆市仁愛區智仁里,1518,344,548,626
臺中市西區平和里,1265,343,490,432
臺南市安平區王城里,1841,343,968,530
宜蘭縣頭城鎮竹安里,1304,343,518,443
桃園市八德區大忠里,1200,342,401,457
高雄市前鎮區振興里,1657,342,717,598
高雄市前鎮區盛興里,1747,342,781,624
高雄市阿蓮區清蓮里,1731,342,989,400
高雄市路竹區竹西里,1497,342,707,448
新竹縣芎林鄉新鳳村,1086,342,273,471
雲林縣崙背鄉阿勸村,1256,342,557,357
雲林縣褒忠鄉中民村,1262,342,552,368
屏東縣屏東市北勢里,1651,342,783,526
屏東縣內埔鄉東勢村,1899,342,1129,428
新北市三重區文化里,1438,341,676,421
新北市永和區信義里,1644,341,559,744
新北市萬里區龜吼里,1588,341,722,525
高雄市苓雅區林中里,1850,341,914,595
宜蘭縣壯圍鄉美福村,1332,341,613,378
南投縣埔里鎮大湳里,1238,341,478,419
屏東縣屏東市仁愛里,1431,341,611,479
花蓮縣花蓮市主學里,1227,341,366,520
新北市永和區新廍里,1441,340,438,663
新北市萬里區大鵬里,1709,340,747,622
高雄市左營區果貿里,1806,340,340,1126
高雄市旗津區北汕里,1583,340,853,390
高雄市小港區港正里,1617,340,711,566
宜蘭縣宜蘭市慈安里,1150,340,424,386
彰化縣北斗鎮光復里,1256,340,466,450
花蓮縣秀林鄉富世村,1201,340,232,629
新北市三重區大同里,1296,339,547,410
新北市永和區復興里,1518,339,466,713
新北市新莊區中誠里,1293,339,628,326
新北市淡水區埤島里,1278,339,490,449
桃園市八德區大竹里,1135,339,493,303
臺南市官田區渡拔里,1786,339,1032,415
臺南市中西區開山里,1640,339,906,395
高雄市鼓山區建國里,1757,339,895,523
高雄市前鎮區瑞文里,1587,339,872,376
雲林縣麥寮鄉中興村,972,339,337,296
花蓮縣花蓮市國強里,1217,339,304,574
臺南市麻豆區埤頭里,1568,338,1029,201
高雄市苓雅區林華里,1823,338,960,525
苗栗縣通霄鎮平元里,1316,338,564,414
嘉義市西區西榮里,1581,338,823,420
臺北市大同區景星里,1430,337,677,416
臺中市西區民生里,1245,337,478,430
臺中市和平區南勢里,1302,337,362,603
臺南市佳里區佳化里,1443,337,792,314
臺南市東區新東里,1711,337,803,571
高雄市三民區灣利里,2076,337,1265,474
彰化縣永靖鄉永南村,1285,337,485,463
雲林縣麥寮鄉瓦磘村,1193,337,562,294
嘉義縣水上鄉大崙村,1371,337,664,370
嘉義縣番路鄉下坑村,1290,337,544,409
屏東縣萬丹鄉新鐘村,1414,337,608,469
新北市中和區宜安里,1349,336,419,594
臺中市龍井區南寮里,1209,336,505,368
高雄市永安區新港里,1594,336,889,369
屏東縣長治鄉潭頭村,1378,336,641,401
嘉義市西區文化里,1501,336,748,417
臺北市松山區東昌里,1538,335,655,548
新北市土城區長風里,1398,335,295,768
新北市林口區太平里,1016,335,488,193
臺中市石岡區梅子里,1281,335,452,494
臺南市新營區永平里,1693,335,841,517
彰化縣田中鎮中路里,1378,335,520,523
彰化縣芳苑鄉三合村,1316,335,543,438
雲林縣斗六市龍潭里,1290,335,513,442
屏東縣東港鎮船頭里,1554,335,847,372
基隆市安樂區中崙里,1182,335,410,437
嘉義市東區王田里,1639,335,647,657
桃園市大溪區員林里,1098,334,401,363
臺南市東區富裕里,1531,334,775,422
臺南市安平區金城里,1423,334,651,438
桃園市桃園區朝陽里,1363,333,602,428
臺南市東山區東中里,1542,333,803,406
臺南市學甲區慈福里,1349,333,672,344
臺南市南區大林里,1582,333,656,593
高雄市橋頭區橋頭里,1491,333,750,408
宜蘭縣員山鄉惠好村,1276,333,630,313
苗栗縣苑裡鎮舊社里,1215,333,507,375
屏東縣潮州鎮三和里,1433,333,631,469
基隆市七堵區永平里,1352,333,484,535
臺中市東勢區慶東里,1291,332,498,461
臺中市大肚區營埔里,1078,332,403,343
高雄市苓雅區林圍里,1618,332,694,592
高雄市旗山區大德里,1533,332,668,533
宜蘭縣員山鄉七賢村,1113,332,466,315
新竹縣新埔鎮旱坑里,1151,332,338,481
苗栗縣卓蘭鎮內灣里,1350,332,549,469
嘉義縣水上鄉柳鄉村,1355,332,695,328
屏東縣屏東市龍華里,1510,332,827,351
臺東縣臺東市中華里,1416,332,477,607
嘉義市西區重興里,1344,332,649,363
臺北市士林區翠山里,1710,331,469,910
臺中市清水區國姓里,1314,331,633,350
臺中市沙鹿區洛泉里,1428,331,581,516
高雄市苓雅區林南里,1908,331,828,749
高雄市林園區中門里,1651,331,903,417
高雄市彌陀區鹽埕里,1440,331,741,368
新竹縣竹東鎮忠孝里,1015,331,211,473
彰化縣秀水鄉金陵村,1225,331,537,357
臺東縣臺東市東海里,1368,331,378,659
澎湖縣馬公市東衛里,1284,331,400,553
臺北市中山區康樂里,1620,330,630,660
新北市瑞芳區傑魚里,1184,330,456,398
臺南市新營區南興里,1495,330,660,505
嘉義縣太保市南新里,1292,330,694,268
屏東縣屏東市永城里,1457,330,601,526
屏東縣內埔鄉龍泉村,1560,330,657,573
新北市三重區萬壽里,1302,329,559,414
新北市永和區前溪里,1357,329,398,630
臺中市豐原區豐西里,1196,329,482,385
宜蘭縣宜蘭市民族里,1451,329,558,564
屏東縣內埔鄉龍潭村,1464,329,513,622
屏東縣崁頂鄉崁頂村,1561,329,785,447
臺東縣臺東市富岡里,1312,329,359,624
嘉義市東區安業里,1360,329,570,461
新北市瑞芳區龍興里,1259,328,440,491
新北市深坑區昇高里,1384,328,490,566
桃園市桃園區西門里,1201,328,485,388
臺中市北區六合里,1158,328,526,304
宜蘭縣宜蘭市西門里,1231,328,588,315
彰化縣彰化市竹中里,1163,328,425,410
彰化縣埔心鄉舊舘村,1071,328,426,317
彰化縣溪州鄉溪州村,1113,328,442,343
雲林縣虎尾鎮安溪里,1203,328,514,361
嘉義市西區新西里,1351,328,656,367
桃園市桃園區永興里,1251,327,581,343
臺中市烏日區南里里,1011,327,341,343
臺南市歸仁區看東里,1341,327,688,326
高雄市三民區同德里,1888,327,1029,532
高雄市苓雅區林富里,1629,327,762,540
高雄市苓雅區同慶里,1463,327,638,498
高雄市路竹區鴨寮里,1360,327,685,348
宜蘭縣冬山鄉廣安村,1252,327,586,339
彰化縣員林市黎明里,1183,327,438,418
彰化縣溪湖鎮番婆里,1175,327,447,401
彰化縣埔心鄉義民村,1136,327,415,394
嘉義縣太保市後潭里,1245,327,573,345
基隆市仁愛區和明里,1238,327,420,491
基隆市安樂區永康里,1220,327,480,413
新北市三重區五谷里,1275,326,568,381
新北市新店區屈尺里,1595,326,685,584
臺南市北區東興里,1387,326,541,520
高雄市大寮區義和里,1582,326,880,376
高雄市岡山區協榮里,1456,326,586,544
彰化縣彰化市興北里,1135,326,434,375
彰化縣溪州鄉溪厝村,1228,326,539,363
嘉義市西區垂楊里,1289,326,561,402
臺中市中區中華里,1274,325,518,431
臺南市歸仁區大潭里,1354,325,754,275
高雄市鳳山區南和里,1742,325,955,462
高雄市大寮區前庄里,1615,325,815,475
高雄市橋頭區東林里,1628,325,982,321
高雄市燕巢區鳳雄里,1626,325,867,434
高雄市梓官區梓信里,1497,325,877,295
彰化縣社頭鄉湳底村,1191,325,519,347
雲林縣虎尾鎮興中里,1143,325,445,373
雲林縣大埤鄉豐田村,1105,325,461,319
屏東縣麟洛鄉新田村,1539,325,798,416
嘉義市西區下埤里,1122,325,487,310
新北市土城區土城里,1256,324,505,427
臺南市佳里區子龍里,1655,324,1041,290
高雄市左營區光輝里,1646,324,668,654
宜蘭縣頭城鎮武營里,1083,324,377,382
宜蘭縣頭城鎮金面里,1134,324,407,403
雲林縣林內鄉重興村,1233,324,608,301
屏東縣里港鄉載興村,1626,324,996,306
屏東縣新園鄉五房村,1792,324,1018,450
臺北市松山區福成里,1585,323,673,589
臺北市中山區北安里,1553,323,547,683
新北市三重區長江里,1283,323,602,358
臺中市東勢區茂興里,1249,323,439,487
臺南市安定區中榮里,1246,323,691,232
高雄市鼓山區裕豐里,1717,323,612,782
高雄市左營區合群里,1743,323,195,1225
彰化縣員林市出水里,1179,323,511,345
新竹市東區福德里,1070,323,377,370
新北市板橋區新埔里,1383,322,614,447
臺中市中區大墩里,1298,322,555,421
臺中市中區光復里,1282,322,524,436
臺南市仁德區二行里,1447,322,726,399
臺南市關廟區山西里,1489,322,833,334
臺南市北區仁愛里,1586,322,751,513
高雄市三民區本文里,1439,322,705,412
高雄市三民區德北里,1545,322,774,449
高雄市美濃區祿興里,1647,322,639,686
屏東縣竹田鄉西勢村,1643,322,826,495
臺南市善化區昌隆里,1325,321,750,254
高雄市前鎮區明義里,1554,321,846,387
彰化縣芬園鄉溪頭村,1148,321,495,332
屏東縣鹽埔鄉鹽中村,1523,321,626,576
臺北市信義區興隆里,1443,320,463,660
新北市三重區忠孝里,1149,320,467,362
新北市三重區龍門里,1180,320,520,340
苗栗縣苗栗市新英里,1090,320,273,497
彰化縣芬園鄉嘉興村,1177,320,448,409
南投縣竹山鎮竹山里,1364,320,556,488
南投縣竹山鎮延正里,1119,320,454,345
雲林縣崙背鄉羅厝村,1348,320,672,356
臺北市士林區臨溪里,1694,319,690,685
臺南市仁德區大甲里,1564,319,841,404
臺南市南區明德里,1030,319,416,295
高雄市新興區中東里,1646,319,758,569
高雄市苓雅區正義里,1656,319,885,452
高雄市旗津區中興里,1651,319,1013,319
高雄市燕巢區瓊林里,1476,319,824,333
彰化縣二林鎮東興里,1046,319,345,382
雲林縣大埤鄉尚義村,1348,319,634,395
嘉義縣梅山鄉梅東村,1421,319,691,411
新竹市北區台溪里,999,319,367,313
臺中市北屯區東山里,1489,318,735,436
臺中市大甲區江南里,939,318,336,285
臺南市安南區布袋里,1180,318,606,256
彰化縣大村鄉茄苳村,1114,318,434,362
南投縣埔里鎮鐵山里,1146,318,391,437
嘉義縣布袋鎮岑海里,1374,318,594,462
屏東縣里港鄉過江村,1418,318,764,336
新北市中和區景本里,1319,317,442,560
桃園市復興區三民里,1424,317,520,587
高雄市前鎮區復國里,1763,317,923,523
高雄市小港區港興里,1532,317,800,415
宜蘭縣員山鄉永和村,1215,317,612,286
彰化縣福興鄉外埔村,1023,317,440,266
屏東縣屏東市維新里,1633,317,839,477
屏東縣屏東市溝美里,1462,317,640,505
臺中市烏日區前竹里,1176,316,557,303
臺南市善化區牛庄里,1191,316,628,247
臺南市關廟區埤頭里,1355,316,755,284
高雄市苓雅區福地里,1681,316,810,555
新竹縣芎林鄉下山村,911,316,248,347
苗栗縣通霄鎮通西里,1366,316,568,482
新北市三重區永春里,1187,315,483,389
新北市萬里區北基里,1637,315,678,644
臺中市石岡區萬安里,1143,315,437,391
苗栗縣大湖鄉靜湖村,1127,315,223,589
桃園市桃園區民生里,1231,314,508,409
臺中市大安區海墘里,939,314,292,333
臺南市善化區南關里,1270,314,711,245
臺南市南區再興里,1545,314,805,426
高雄市湖內區中賢里,1401,314,793,294
宜蘭縣五結鄉福興村,1269,314,635,320
雲林縣臺西鄉五港村,1056,314,409,333
基隆市信義區信綠里,1360,314,463,583
臺南市安定區安加里,1504,313,847,344
高雄市林園區林內里,1300,313,563,424
高雄市梓官區茄苳里,1516,313,790,413
苗栗縣苑裡鎮西平里,1079,313,485,281
苗栗縣苑裡鎮山柑里,947,313,343,291
苗栗縣卓蘭鎮上新里,1337,313,556,468
彰化縣埔心鄉瓦南村,1049,313,417,319
雲林縣北港鎮光復里,1160,313,440,407
新北市三重區長安里,1311,312,567,432
新北市永和區正興里,1391,312,439,640
新北市汐止區樟樹里,1310,312,539,459
新北市八里區荖阡里,1089,312,404,373
桃園市蘆竹區蘆興里,1176,312,504,360
臺南市善化區溪美里,1358,312,695,351
高雄市前鎮區瑞東里,1487,312,829,346
高雄市前鎮區瑞興里,1704,312,1006,386
高雄市梓官區梓義里,1446,312,824,310
南投縣草屯鎮北勢里,1258,312,536,410
雲林縣西螺鎮大園里,1192,312,563,317
嘉義縣布袋鎮復興里,1436,312,733,391
嘉義縣大林鎮西林里,1326,312,604,410
嘉義縣新港鄉三間村,1073,312,485,276
花蓮縣花蓮市民運里,1308,312,351,645
基隆市七堵區正明里,1309,312,493,504
桃園市龍潭區武漢里,1054,311,303,440
桃園市平鎮區北安里,1181,311,476,394
臺中市后里區泰安里,1020,311,418,291
臺南市六甲區七甲里,1242,311,690,241
臺南市將軍區忠嘉里,1553,311,901,341
臺南市新市區三舍里,1149,311,604,234
高雄市苓雅區凱旋里,1486,311,588,587
南投縣草屯鎮石川里,1086,311,401,374
南投縣名間鄉新光村,1166,311,495,360
雲林縣莿桐鄉四合村,1175,311,557,307
嘉義縣水上鄉龍德村,1356,311,715,330
嘉義縣中埔鄉社口村,1346,311,576,459
屏東縣萬丹鄉四維村,1385,311,706,368
屏東縣萬丹鄉社皮村,1363,311,756,296
新北市永和區後溪里,1331,310,494,527
臺中市新社區大南里,1266,310,457,499
臺南市北區重興里,1358,310,570,478
宜蘭縣五結鄉上四村,1157,310,546,301
南投縣名間鄉大庄村,1249,310,649,290
嘉義縣水上鄉柳新村,1199,310,488,401
屏東縣屏東市斯文里,1382,310,573,499
新北市三重區大安里,1063,309,376,378
新北市新莊區立人里,1255,309,386,560
臺中市東區富台里,1173,309,321,543
新竹縣竹東鎮榮樂里,944,309,205,430
彰化縣彰化市陽明里,1211,309,500,402
彰化縣線西鄉德興村,957,309,311,337
彰化縣溪州鄉西畔村,1250,309,597,344
雲林縣虎尾鎮下溪里,1096,309,421,366
雲林縣二崙鄉崙西村,1169,309,539,321
花蓮縣吉安鄉光華村,1267,309,248,710
臺南市中西區淺草里,1615,308,809,498
高雄市新興區順昌里,1527,308,774,445
高雄市苓雅區福居里,1712,308,955,449
高雄市旗山區太平里,1498,308,727,463
新竹縣竹北市新庄里,838,308,270,260
彰化縣芳苑鄉建平村,1272,308,522,442
屏東縣新園鄉共和村,1485,308,892,285
臺東縣臺東市中正里,1388,308,507,573
嘉義市東區北門里,1403,308,699,396
臺北市大安區昌隆里,1836,307,797,732
新北市三重區信安里,1242,307,531,404
臺中市清水區海風里,1005,307,412,286
臺中市外埔區馬鳴里,945,307,328,310
臺南市安南區南興里,1265,307,702,256
宜蘭縣五結鄉孝威村,1160,307,612,241
彰化縣彰化市寶廍里,890,307,310,273
雲林縣斗六市嘉東里,1044,307,412,325
新竹市東區仙宮里,905,307,292,306
新北市三重區自強里,1134,306,485,343
新北市八里區下罟里,1051,306,350,395
桃園市新屋區後湖里,1061,306,437,318
高雄市苓雅區永康里,1416,306,662,448
宜蘭縣宜蘭市凱旋里,963,306,426,231
雲林縣水林鄉水北村,1288,306,647,335
雲林縣水林鄉水南村,1321,306,695,320
嘉義市東區新開里,1331,306,558,467
臺中市東勢區中嵙里,1256,305,416,535
臺南市新營區民權里,1519,305,690,524
嘉義縣民雄鄉興中村,1215,305,552,358
屏東縣東港鎮鎮海里,1390,305,803,282
臺東縣臺東市建農里,1143,305,236,602
基隆市仁愛區水錦里,1182,305,417,460
桃園市新屋區下田里,1211,304,530,377
臺中市西區三民里,1247,304,529,414
臺中市大甲區順天里,1053,304,442,307
高雄市岡山區信義里,1114,304,371,439
高雄市梓官區赤東里,1551,304,898,349
宜蘭縣五結鄉利澤村,1250,304,649,297
雲林縣大埤鄉嘉興村,1241,304,582,355
雲林縣崙背鄉崙前村,1286,304,681,301
屏東縣屏東市安鎮里,1358,304,723,331
屏東縣恆春鎮南灣里,1018,304,387,327
屏東縣新園鄉田洋村,1494,304,888,302
新竹市北區長和里,974,304,414,256
臺北市信義區松隆里,1283,303,465,515
高雄市苓雅區晴朗里,1352,303,644,405
宜蘭縣蘇澳鎮新城里,1059,303,476,280
苗栗縣三義鄉西湖村,1030,303,190,537
彰化縣永靖鄉永西村,1077,303,434,340
新北市三重區同慶里,1136,302,438,396
新北市瑞芳區瑞濱里,1110,302,385,423
臺南市楠西區東勢里,1400,302,542,556
高雄市阿蓮區港後里,1429,302,739,388
宜蘭縣冬山鄉珍珠村,1177,302,603,272
彰化縣溪湖鎮東溪里,948,302,408,238
嘉義縣民雄鄉鎮北村,1035,302,451,282
新北市三重區正安里,1220,301,526,393
新北市淡水區水源里,1303,301,629,373
臺中市大甲區龍泉里,1034,301,411,322
臺中市清水區吳厝里,1061,301,434,326
臺中市大安區龜売里,1020,301,385,334
苗栗縣公館鄉館中村,1087,301,308,478
雲林縣莿桐鄉六合村,1226,301,623,302
屏東縣里港鄉三廍村,1257,301,626,330
新竹市東區南大里,969,301,402,266
新北市三重區開元里,1129,300,473,356
新北市新店區和平里,1041,300,269,472
彰化縣彰化市華陽里,1178,300,397,481
桃園市新屋區東明里,1067,299,448,320
臺中市南區長春里,1264,299,539,426
臺南市柳營區士林里,1264,299,646,319
臺南市佳里區東寧里,1556,299,842,415
臺南市新市區潭頂里,1293,299,734,260
高雄市前鎮區瑞西里,1707,299,1038,370
苗栗縣公館鄉玉谷村,973,299,237,437
雲林縣莿桐鄉興貴村,1247,299,599,349
屏東縣屏東市義勇里,1271,299,471,501
臺東縣卑南鄉賓朗村,1368,299,482,587
新北市三峽區嘉添里,1393,298,540,555
臺南市麻豆區海埔里,1427,298,872,257
臺南市下營區紅甲里,1399,298,841,260
臺南市善化區嘉北里,1156,298,644,214
臺南市南區喜東里,1476,298,930,248
高雄市鼓山區民強里,1761,298,993,470
宜蘭縣三星鄉尾塹村,1079,298,558,223
臺中市東勢區下新里,1145,297,421,427
臺中市外埔區中山里,881,297,293,291
臺南市佳里區民安里,1245,297,710,238
臺南市佳里區佳興里,1453,297,864,292
高雄市苓雅區五權里,1548,297,741,510
宜蘭縣礁溪鄉玉石村,1354,297,593,464
彰化縣溪湖鎮北勢里,1009,297,390,322
嘉義市西區永和里,1259,297,582,380
新北市新莊區文德里,1155,296,459,400
新北市樹林區坡內里,1084,296,449,339
新北市汐止區仁德里,1183,296,427,460
臺南市佳里區海澄里,1456,296,817,343
彰化縣埔心鄉二重村,1029,296,452,281
彰化縣永靖鄉光雲村,1068,296,449,323
彰化縣埤頭鄉永豐村,1015,296,377,342
南投縣竹山鎮山崇里,1220,296,515,409
嘉義市東區過溝里,1357,296,638,423
高雄市楠梓區大昌里,1352,295,584,473
高雄市苓雅區建軍里,1400,295,680,425
宜蘭縣羅東鎮大新里,1066,295,481,290
苗栗縣後龍鎮東明里,944,295,349,300
彰化縣溪州鄉大庄村,1163,295,570,298
南投縣草屯鎮土城里,1079,295,387,397
雲林縣二崙鄉田尾村,1238,295,622,321
嘉義市東區中央里,1506,295,782,429
金門縣金城鎮珠沙里,1036,295,109,632
臺南市安南區總頭里,1271,294,693,284
苗栗縣公館鄉鶴山村,985,294,251,440
嘉義縣民雄鄉東湖村,1174,294,509,371
屏東縣新園鄉新園村,1463,294,781,388
新北市板橋區華福里,1260,293,515,452
新北市新店區文中里,1157,293,307,557
桃園市蘆竹區富竹里,1082,293,606,183
臺中市石岡區萬興里,1060,293,372,395
臺南市新化區知義里,1479,293,800,386
臺南市關廟區松腳里,1411,293,802,316
臺南市南區同安里,1526,293,922,311
高雄市仁武區竹後里,1569,293,1009,267
高雄市岡山區灣裡里,1313,293,688,332
高雄市美濃區福安里,1604,293,701,610
苗栗縣苑裡鎮上舘里,1084,293,405,386
彰化縣福興鄉大崙村,882,293,345,244
彰化縣埔鹽鄉埔南村,1098,293,403,402
彰化縣埔鹽鄉石埤村,938,293,369,276
臺東縣池上鄉福原村,1173,293,375,505
臺北市大安區臥龍里,1248,292,417,539
臺南市南區廣州里,1595,292,906,397
高雄市小港區鳳森里,1469,292,873,304
基隆市中正區砂灣里,1297,292,405,600
臺北市大安區學府里,1371,291,447,633
新北市三峽區溪南里,1005,291,483,231
臺南市歸仁區西埔里,1254,291,707,256
高雄市鳳山區國隆里,1580,291,873,416
苗栗縣通霄鎮梅南里,1046,291,461,294
彰化縣彰化市福田里,889,291,334,264
雲林縣土庫鎮東平里,1248,291,667,290
屏東縣內埔鄉美和村,1435,291,719,425
澎湖縣馬公市陽明里,1376,291,550,535
桃園市龜山區龍壽里,1160,290,615,255
臺中市大甲區建興里,985,290,424,271
臺南市下營區仁里里,1309,290,676,343
臺南市六甲區水林里,1356,290,764,302
高雄市彌陀區彌陀里,1222,290,582,350
雲林縣四湖鄉四湖村,1056,290,434,332
基隆市仁愛區德厚里,1221,290,442,489
嘉義市西區自強里,1139,290,501,348
臺南市安南區塩田里,1097,289,479,329
高雄市新興區光耀里,1508,289,702,517
高雄市彌陀區南寮里,1425,289,726,410
高雄市梓官區梓和里,1615,289,968,358
宜蘭縣壯圍鄉復興村,1091,289,541,261
彰化縣田中鎮平和里,954,289,334,331
彰化縣溪州鄉水尾村,1009,289,536,184
新北市板橋區民安里,1330,288,530,512
桃園市大溪區福安里,1532,288,881,363
臺中市大甲區銅安里,912,288,345,279
臺中市清水區西寧里,1102,288,519,295
臺中市潭子區新田里,1099,288,497,314
高雄市美濃區中圳里,1358,288,516,554
宜蘭縣宜蘭市建軍里,1098,288,442,368
新竹縣湖口鄉孝勢村,879,288,216,375
苗栗縣銅鑼鄉朝陽村,1149,288,272,589
彰化縣和美鎮好修里,1039,288,445,306
彰化縣田尾鄉仁里村,1094,288,404,402
雲林縣土庫鎮西平里,1126,288,552,286
新北市三重區承德里,1142,287,526,329
桃園市大園區和平里,1120,287,562,271
臺中市豐原區東陽里,1162,287,552,323
高雄市鼓山區鼓峰里,1242,287,454,501
高雄市林園區龔厝里,1363,287,765,311
宜蘭縣礁溪鄉光武村,1023,287,511,225
彰化縣福興鄉社尾村,986,287,438,261
南投縣鹿谷鄉鹿谷村,1235,287,475,473
