city-town,zone,code,areas,name,party
彰化縣秀水鄉,彰化縣秀水鄉第03選區,10007070-03,福安村/埔崙村/曾厝村/金陵村/下崙村,,
彰化縣花壇鄉,彰化縣花壇鄉第01選區,10007080-01,中庄村/劉厝村/崙雅村/南口村/花壇村/金墩村,,
彰化縣花壇鄉,彰化縣花壇鄉第02選區,10007080-02,中口村/北口村/長沙村/文德村/白沙村/岩竹村,,
彰化縣花壇鄉,彰化縣花壇鄉第03選區,10007080-03,長春村/灣雅村/灣東村/三春村/永春村/橋頭村,,
彰化縣芬園鄉,彰化縣芬園鄉第01選區,10007090-01,大埔村/竹林村/舊社村,,
彰化縣芬園鄉,彰化縣芬園鄉第02選區,10007090-02,社口村/茄荖村/嘉興村/芬園村/楓坑村,,
彰化縣芬園鄉,彰化縣芬園鄉第03選區,10007090-03,縣庄村/圳墘村/溪頭村,,
彰化縣芬園鄉,彰化縣芬園鄉第04選區,10007090-04,中崙村/大竹村/進芬村/同安村,,
彰化縣員林市,彰化縣員林市第01選區,10007100-01,大峯里/鎮興里/浮圳里/西東里/南東里/中東里/東北里/振興里/林厝里/出水里/湖水里/崙雅里,,
彰化縣員林市,彰化縣員林市第02選區,10007100-02,惠來里/東和里/民生里/黎明里/中央里/溝皂里/大饒里/大明里/萬年里,,
彰化縣員林市,彰化縣員林市第03選區,10007100-03,仁愛里/忠孝里/三條里/三和里/三橋里/仁美里/新興里/和平里/光明里/中正里/中山里/三愛里/三信里/三多里,,
彰化縣員林市,彰化縣員林市第04選區,10007100-04,源潭里/大埔里/三義里/新生里/南平里/南興里,,
彰化縣溪湖鎮,彰化縣溪湖鎮第01選區,10007110-01,中山里/中竹里/西溪里/湖東里/太平里/光華里/光平里/平和里,,
彰化縣溪湖鎮,彰化縣溪湖鎮第02選區,10007110-02,大竹里/湖西里/田中里/河東里/東寮里/西寮里/大突里/北勢里/汴頭里,,
彰化縣溪湖鎮,彰化縣溪湖鎮第03選區,10007110-03,東溪里/頂庄里/忠覺里/番婆里/湳底里/大庭里/媽厝里/西勢里,,
彰化縣田中鎮,彰化縣田中鎮第01選區,10007120-01,新庄里/碧峰里/東源里/復興里/平和里/香山里/頂潭里,,
彰化縣田中鎮,彰化縣田中鎮第02選區,10007120-02,中路里/西路里/東路里/南路里/梅州里/中潭里/龍潭里/北路里,,
彰化縣田中鎮,彰化縣田中鎮第03選區,10007120-03,三安里/大崙里/沙崙里/新民里/三民里/三光里/大社里,,
