area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
彰化縣田中鎮,2,蕭淑芬,無黨籍及未經政黨推薦,f,0570515,54,臺灣省,專科,N,Y,11228,10,007,00,120,0000
彰化縣大村鄉,1,賴志銘,無黨籍及未經政黨推薦,m,0560817,55,臺灣省,專科,N,Y,14261,10,007,00,130,0000
彰化縣大村鄉,2,許美珍,無黨籍及未經政黨推薦,f,0540423,57,臺灣省,碩士,N,N,7006,10,007,00,130,0000
彰化縣埔鹽鄉,1,李廣瑾,無黨籍及未經政黨推薦,m,0420105,69,臺灣省,高中(職)以下,N,N,4199,10,007,00,140,0000
彰化縣埔鹽鄉,2,許文萍,無黨籍及未經政黨推薦,f,0650709,46,臺灣省,大學,Y,Y,14277,10,007,00,140,0000
彰化縣埔心鄉,1,張佩瑩,無黨籍及未經政黨推薦,f,0630811,48,臺灣省,大學,N,Y,9484,10,007,00,150,0000
彰化縣埔心鄉,2,謝翠屏,民主進步黨,f,0641014,47,臺灣省,大學,N,N,3135,10,007,00,150,0000
彰化縣埔心鄉,3,林淑華,中國國民黨,f,0600128,51,臺灣省,碩士,N,N,6217,10,007,00,150,0000
彰化縣永靖鄉,1,詹雅婷,無黨籍及未經政黨推薦,f,0730624,38,臺灣省,大學,N,N,5622,10,007,00,160,0000
彰化縣永靖鄉,2,劉兆祐,中國國民黨,m,0600224,51,臺灣省,大學,N,N,4952,10,007,00,160,0000
彰化縣永靖鄉,3,陳丁進,無黨籍及未經政黨推薦,m,0550120,56,臺灣省,碩士,N,N,3153,10,007,00,160,0000
彰化縣永靖鄉,4,魏碩衛,民主進步黨,m,0550818,56,臺灣省,大學,N,Y,5906,10,007,00,160,0000
彰化縣社頭鄉,1,蕭家申,民主進步黨,m,0490218,62,臺灣省,高中(職),N,N,4615,10,007,00,170,0000
彰化縣社頭鄉,2,蕭如意,無黨籍及未經政黨推薦,m,0440610,67,臺灣省,高中(職),N,N,7231,10,007,00,170,0000
彰化縣社頭鄉,3,蕭浚二,中國國民黨,m,0500816,61,臺灣省,專科,N,Y,10531,10,007,00,170,0000
彰化縣二水鄉,1,蘇界欽,無黨籍及未經政黨推薦,m,0521030,59,臺中市,高中(職)以下,Y,Y,4462,10,007,00,180,0000
彰化縣二水鄉,2,鄭蒼陽,無黨籍及未經政黨推薦,m,0470310,64,臺灣省,專科,N,N,4282,10,007,00,180,0000
彰化縣北斗鎮,1,李玄在,無黨籍及未經政黨推薦,m,0540110,57,臺灣省,大學,Y,Y,6887,10,007,00,190,0000
彰化縣北斗鎮,2,王東魚,民主進步黨,m,0610924,50,臺灣省,高中(職),N,N,3656,10,007,00,190,0000
彰化縣北斗鎮,3,顏宏霖,無黨籍及未經政黨推薦,m,0561206,54,臺灣省,專科,N,N,6079,10,007,00,190,0000
彰化縣二林鎮,1,蔡詩傑,無黨籍及未經政黨推薦,m,0491202,61,臺灣省,博士,Y,Y,21539,10,007,00,200,0000
彰化縣田尾鄉,1,許淑美,無黨籍及未經政黨推薦,f,0580721,53,臺灣省,碩士,N,Y,6038,10,007,00,210,0000
彰化縣田尾鄉,2,林守政,無黨籍及未經政黨推薦,m,0480405,63,臺灣省,大學,Y,N,5793,10,007,00,210,0000
彰化縣田尾鄉,3,陳尚宏,無黨籍及未經政黨推薦,m,0570610,54,臺灣省,高中(職),N,N,2207,10,007,00,210,0000
彰化縣田尾鄉,4,蕭家服,無黨籍及未經政黨推薦,m,0511001,60,臺灣省,大學,N,N,322,10,007,00,210,0000
彰化縣埤頭鄉,1,杜懿彩,無黨籍及未經政黨推薦,f,0530413,58,臺灣省,高中(職),Y,Y,13667,10,007,00,220,0000
彰化縣芳苑鄉,1,洪松林,民主進步黨,m,0551009,56,臺灣省,高中(職)以下,N,N,6870,10,007,00,230,0000
彰化縣芳苑鄉,2,林保玲,中國國民黨,f,0530218,58,臺灣省,碩士,N,Y,10600,10,007,00,230,0000
彰化縣大城鄉,1,陳玉照,無黨籍及未經政黨推薦,m,0470613,64,臺灣省,碩士,N,Y,4813,10,007,00,240,0000
彰化縣大城鄉,2,許月鈴,無黨籍及未經政黨推薦,f,0470410,64,臺灣省,高中(職),N,N,4085,10,007,00,240,0000
彰化縣竹塘鄉,1,蔡碩任,無黨籍及未經政黨推薦,m,0640904,47,臺灣省,高中(職),Y,Y,7699,10,007,00,250,0000
彰化縣溪州鄉,1,江淑芬,中國國民黨,f,0500419,61,臺灣省,高中(職),Y,Y,10270,10,007,00,260,0000
彰化縣溪州鄉,2,楊金源,民主進步黨,m,0450810,66,臺灣省,高中(職)以下,N,N,4647,10,007,00,260,0000
南投縣南投市,1,賴燕雪,民主進步黨,f,0530418,58,臺灣省,碩士,N,N,24156,10,008,00,010,0000
南投縣南投市,2,陳進興,無黨籍及未經政黨推薦,m,0660213,45,臺中市,碩士,N,N,980,10,008,00,010,0000
南投縣南投市,3,張嘉哲,中國國民黨,m,0701126,40,臺灣省,碩士,N,Y,29150,10,008,00,010,0000
南投縣埔里鎮,1,廖志城,民主進步黨,m,0511111,59,臺灣省,高中(職),Y,Y,26241,10,008,00,020,0000
南投縣埔里鎮,2,黃敏聰,中國國民黨,m,0550320,56,臺灣省,高中(職)以下,N,N,15679,10,008,00,020,0000
南投縣草屯鎮,1,簡景賢,中國國民黨,m,0481203,62,臺灣省,碩士,Y,Y,32006,10,008,00,030,0000
南投縣草屯鎮,2,曾煌棊,民主進步黨,m,0680920,43,臺灣省,博士,N,N,19777,10,008,00,030,0000
南投縣竹山鎮,1,陳東睦,無黨籍及未經政黨推薦,m,0520228,59,臺灣省,專科,Y,Y,19598,10,008,00,040,0000
南投縣竹山鎮,2,林孟麗,中國國民黨,f,0540310,57,臺灣省,高中(職),N,N,7800,10,008,00,040,0000
南投縣竹山鎮,3,黃丹怡,無黨籍及未經政黨推薦,f,0560911,55,臺灣省,專科,N,N,1564,10,008,00,040,0000
南投縣集集鎮,1,吳大村,中國國民黨,m,0520403,59,臺灣省,專科,N,Y,3516,10,008,00,050,0000
南投縣集集鎮,2,陳昭煜,民主進步黨,m,0511114,59,臺灣省,碩士,N,N,3068,10,008,00,050,0000
南投縣名間鄉,1,李雁惠,無黨籍及未經政黨推薦,f,0610513,50,臺灣省,專科,N,N,9717,10,008,00,060,0000
